"variable","type"
"ID","factor"
"GB.Indicator","factor"
"Marital.Status","factor"
"Working.Years","numeric"
"Monthly.Income","numeric"
"Age","numeric"
"Gender","factor"
"Tot_Acct_DebitCard_12mo","numeric"
"Tot_CL_DebitCard_12mo","numeric"
"Avg_CL_DebitCard_6mo","numeric"
"Avg_CL_DebitCard_12mo","numeric"
"Num_DebitCard_ChargeOff","numeric"
"Tot_DebitCard_Due_CurrentMo","numeric"
"Tot_DebitCard_Pay_CurrentMo","numeric"
"Num_DebitCard_Pastdue_CurrentMo","numeric"
"DebitCard_Pastdue_Max_CurrentMo","numeric"
"DebitCard_Pastdue_Tot_CurrentMo","numeric"
"CreditCard_Min_MOB","numeric"
"Tot_Creditcard_Acct","numeric"
"Num_Pastdue_Creditcard","numeric"
"Max_Pastdue_Creditcard_12Mon","numeric"
"Max_Pastdue_Creditcard_24Mon","numeric"
"Tot_CL_DebitCard","numeric"
"Avg_CL_DebitCard","numeric"
"Tot_Amount_Loan_6Mo","numeric"
"Tot_Amount_Loan_12Mo","numeric"
"Avg_Amount_Loan_6Mo","numeric"
"Avg_Amount_Loan_12Mo","numeric"
"Num_Loan_Paidoff","numeric"
"Num_Loan_Open","numeric"
"Num_Loan_Due_6Mo","numeric"
"Num_Loan_Due_12Mo","numeric"
"Tot_Balance_Loan_6Mo","numeric"
"Tot_Balance_Loan_12Mo","numeric"
"Tot_Amount_Due_Loan_6Mo","numeric"
"Tot_Amount_Due_Loan_12Mo","numeric"
"Num_Acct_Pastdue_Loan_CurrentMo","numeric"
"Max_Pastdue_Loan_CurrentMo","numeric"
"Tot_Amount_Pastdue_Loan","numeric"
"Unpaid_Balance_Loan","numeric"
"Tot_Num_Loantypes","numeric"
"Min_MOB_Loan","numeric"
"Num_Pastdue_Loan_12Mo","numeric"
"Num_Pastdue_Loan_24Mo","numeric"
"Max_Pastdue_Loan_6Mo","numeric"
"Max_Pastdue_Loan_12Mo","numeric"
"Max_Pastdue_Loan_24Mo","numeric"
"Tot_Amount_Due_Loan","numeric"
"Tot_Amount_Paid_Loan","numeric"
"Num_Acct_Mortgage","numeric"
"Num_Acct_Unpaidoff_Mortgage","numeric"
"Num_Acct_Paidoff_Mortgage","numeric"
"Balance_Unpaid_Mortgage","numeric"
"ContractValue_Unpaid_Mortgage","numeric"
"Amount_Paid_Mortage","numeric"
"Monthly_Payment_Mortgage","numeric"
"Total_Amount_Due_Mortgage","numeric"
"Total_Amount_Paid_Mortgage","numeric"
"Num_Acct_AutoLoan","numeric"
"Num_Acct_Unpaidoff_AutoLoan","numeric"
"Num_Acct_Paidoff_AutoLoan","numeric"
"Balance_Unpaid_AutoLoan","numeric"
"ContractValue_Unpaid_AutoLoan","numeric"
"Amount_Paid_AutoLoan","numeric"
"Monthly_Payment_AutoLoan","numeric"
"Total_Amount_Due_AutoLoan","numeric"
"Total_Amount_Paid_AutoLoan","numeric"
"Num_Acct_CommercialLoan","numeric"
"Num_Acct_Unpaidoff_CommercialLoan","numeric"
"Num_Acct_Paidoff_CommercialLoan","numeric"
"Balance_Unpaid_CommercialLoan","numeric"
"ContractValue_Unpaid_CommercialLoan","numeric"
"Amount_Paid_CommercialLoan","numeric"
"Monthly_Payment_CommercialLoan","numeric"
"Total_Amount_Due_CommercialLoan","numeric"
"Total_Amount_Paid_CommercialLoan","numeric"
"Tot_Utilization_Debitcard","numeric"
"Num_Pastdue_Creditcard_12Mo","numeric"
"Repayment_Percentage_Debitcard","numeric"
"Balance_to_LoanAmount","numeric"
"Min_MOB_AllLoan","numeric"
"Num_Acct_SecuredLoan_Property","numeric"
"Num_Acct_Unpaidoff_SecuredLoan_Property","numeric"
"Num_Acct_Paidoff_SecuredLoan_Property","numeric"
"Tot_Amount_SecuredLoan_Property","numeric"
"ContractValue_Unpaid_SecuredLoan_Property","numeric"
"Balance_Paid_SecuredLoan_Property","numeric"
"Balance_UnPaid_SecuredLoan_Property","numeric"
"Total_Amount_Due_SecuredLoan_Property","numeric"
"Total_Amount_Paid_SecuredLoan_Property","numeric"
"Num_Payments_Remain_Most_Recent_Loan","numeric"
"Percentage_Paid_Loan","numeric"
"Percentage_Paid_SecuredLoan_Property","numeric"
"Percentage_Paid_AutoLoan","numeric"
"Payment_to_RemainBalance_SecuredLoan_Property","numeric"
"Payment_to_RemainBalance_AutoLoan","numeric"
"Amountdue_to_OrigBalance_SecuredLoan_Property","numeric"
"Amountdue_to_OrigBalance_AutoLoan","numeric"
